count,word,incident,request
17,обрезь,0,17
17,специализированный,0,17
18,контейнер,0,18
1,random2459заявка,0,1
1,random622заявка,0,1
3,манипулятор,0,3
6,мышь,1,5
1,апрос,0,1
58,randomnnnn,0,58
87,02,0,87
62,прекращение,0,62
213,система500,14,199
333,ремонт,8,325
34,несколько,16,18
57,дверь,0,57
149,блокировка,0,149
64,узсервис7,0,64
262,транспортный,1,261
261,шлюз,0,261
35,адре№11,0,35
65,копирование,0,65
49,нарочно,0,49
84,кмр,0,84
1,кухонный,0,1
2,инвентарь,0,2
17,кабинет,0,17
227,система8,7,220
41,жалюзь,0,41
43,получение,1,42
1,подключаться,0,1
13,сеть,1,12
50,замок,0,50
131,техника,1,130
94,система11,11,83
69,кресло,0,69
51,объект,0,51
6,замедление,3,3
360,работа,8,352
2,групповой,0,2
2,политик,0,2
18,оса,4,14
5,windows,0,5
55,сервис56,3,52
1,система368,0,1
4,эд,0,4
172,учет,0,172
15,пс,0,15
18,система43,0,18
17,тс,0,17
15,инв,0,15
285,логический,0,285
2,разговор,1,1
17,телефон,10,7
97,управление,0,97
125,рабочий,0,125
9,станция,0,9
1,гудение,0,1
26,адре№118,0,26
21,сканирование,1,20
7,e-mail,1,6
41,копировально-множительный,0,41
20,электронный,1,19
5,подписание,1,4
50,документ,13,37
2,дэть,0,2
1,происходить,0,1
139,обновление,0,139
2,список,1,1
7,отчет,2,5
43,разгрузка,0,43
55,машина,0,55
4,номер,0,4
20,администратор,0,20
3,закончиться,0,3
2,дез,0,2
1,жидкость,0,1
2,перевешивать,0,2
18,мыть,0,18
1,речь,0,1
1,кондиционер,0,1
2,мой,1,1
12,холодно,0,12
9,помещение,0,9
21,необходимый,0,21
18,повесить,0,18
14,устанавливать,1,13
12,жидкий,0,12
30,требоваться,3,27
13,дверной,0,13
12,ручка,0,12
2,шредро,2,0
1,забиться,1,0
9,бумага,5,4
143,система20,11,132
6,компьютер,0,6
182,подключение,3,179
53,свт,0,53
53,лвс,0,53
3,два,0,3
21,стул,0,21
2,механический,0,2
4,кодовый,0,4
125,проведение,0,125
7,видеоконференция,0,7
2,решетка,0,2
3,разделитель,1,2
7,domen7,0,7
3,система97,0,3
13,система62,1,12
21,наличие,3,18
20,вредоносный,3,17
20,код,3,17
20,сз,3,17
20,ввк,3,17
15,сопровождение,0,15
7,мероприятие,0,7
7,средство,0,7
1,расширение,0,1
3,диск,0,3
1,y,0,1
1,освидетельствование,0,1
1,бытовой,0,1
1,сейф,0,1
5,металлический,0,5
20,мебель,0,20
38,имущество,0,38
24,вода,0,24
26,арм,3,23
2,c,0,2
13,идентификатор,4,9
8,система,2,6
2,заказ,0,2
71,система22,11,60
2,временной,0,2
115,файловой,0,115
1,книжный,0,1
8,департамент,1,7
13,право,2,11
18,использование,0,18
5,random59597,0,5
8,версия,0,8
5,abbyy,0,5
5,finereader,0,5
2,…,0,2
3,настраивать,1,2
12,система58,0,12
1,частично,0,1
6,отопление,0,6
31,решение,0,31
37,проблема,4,33
31,связанный,0,31
1,подотчетный,0,1
2,лицо,1,1
3,защита,0,3
121,расширенный,0,121
1,система58забраковывать,0,1
2,исходить,1,1
2,эс,0,2
1,4эт,0,1
5,сервис27,4,1
3,зависнуть,2,1
2,стадия,2,0
3,ожидать,3,0
3,утверждение,3,0
7,невозможно,4,3
3,передавать,0,3
4,операция,0,4
1,ответисполнитель,0,1
2,контролер,0,2
15,загрузка,9,6
2,ноутбук,1,1
2,часть,0,2
1,исчезать,0,1
1,р,0,1
10,ярлык,1,9
18,вход,7,11
1,этап,0,1
3,справочник,0,3
2,нсь,0,2
4,согласовать,1,3
2,поступать,2,0
5,сообщение,4,1
4,почта,1,3
1,видеть,1,0
1,жаловаться,1,0
2,медленный,2,0
24,срочно,6,18
3,мочь,2,1
4,входить,2,2
24,шкаф,0,24
1,random5640заявка,0,1
2,длительный,1,1
1,чрезмерно,0,1
1,ожидание,0,1
1,отклик,0,1
1,программа,0,1
2,зависание,1,1
7,шуметь,0,7
2,вентиляция,0,2
14,необходимость,0,14
11,устройство,3,8
14,ввод,3,11
2,вывод,0,2
1,формироваться,1,0
9,печать,4,5
2,опись,2,0
1,конверкт,1,0
1,ограничитель,0,1
1,открытие,0,1
1,створка,0,1
4,пластиковый,0,4
17,окно,0,17
1,гребенка,0,1
1,проклейка,0,1
1,цель,0,1
1,утепление,0,1
52,перевыпуск,0,52
52,рутокать,0,52
1,демонтаж,0,1
3,вертикальный,0,3
2,санитайзер,0,2
17,картина,0,17
2,диспенсер,0,2
1,заведующий,1,0
2,кладовая,1,1
8,стол,0,8
14,перевод,0,14
1,тест2,1,0
1,кассир,0,1
1,виссить,0,1
1,деньги,0,1
53,сотрудник,1,52
1,система333,1,0
2,напольный,0,2
3,покрытие,0,3
3,компьютерный,0,3
1,газлифт,0,1
23,произойти,23,0
25,сбой,25,0
60,регистрация,24,36
3,частый,0,3
1,застревание,0,1
3,формат,0,3
1,а3,0,1
12,randomkkkk,0,12
28,элект,1,27
18,документооборотпоиск,0,18
1,random1969заявка,0,1
8,приложение,4,4
3,открываться,0,3
1,см,0,1
1,потолочный,0,1
6,светильник,0,6
1,верхний,0,1
2,полка,0,2
8,тумбочка,0,8
16,копия,2,14
15,возможность,11,4
3,срок,0,3
10,тот,3,7
21,система54,21,0
1,корректировка,0,1
1,ит-система,0,1
4,тренировка,1,3
5,шататься,0,5
3,унитаз,0,3
20,адре№12,0,20
15,рк,0,15
2,петля,0,2
3,зависать,2,1
1,забивать,0,1
144,новый,0,144
2,договор,0,2
113,фз,3,110
104,ад,0,104
104,cоздание,0,104
112,система52,6,106
2,диван,0,2
1,виснуть,1,0
3,рутокен,0,3
9,доводчик,0,9
96,системный,0,96
95,прикладной,0,95
10,randomac,0,10
10,dc,0,10
4,подключать,1,3
9,удаваться,3,6
3,открывать,1,2
98,плановый,0,98
98,смена,0,98
98,ключевой,0,98
100,информация,2,98
3,телефонный,0,3
3,аппарат,1,2
7,фг,0,7
28,интранет-портал,0,28
19,регулировка,0,19
1,ведущий,0,1
2,внутренний,0,2
1,двор,0,1
1,брошюровка,0,1
1,смывной,0,1
1,бочка,0,1
17,итс,0,17
1,вложение,0,1
5,web,3,2
6,зарегистрировать,1,5
2,центральный,0,2
3,холл,0,3
4,лампа,0,4
1,random1147,0,1
1,random3003заявка,0,1
1,административный,0,1
1,система35,0,1
1,random1297заявка,0,1
1,random4834заявка,0,1
1,random7318заявка,0,1
12,msk,0,12
115,работникамдепартаменткоторыйотвечать,0,115
117,это,2,115
115,точно,0,115
1,random9161заявка,0,1
4,суровый,0,4
10,вкс,0,10
6,выделение,0,6
1,дополнительн,0,1
8,уввь,0,8
1,random314заявка,0,1
1,random8477заявка,0,1
1,random4438заявка,0,1
1,pdf,0,1
2,печататься,0,2
12,подразделение,0,12
3,починять,0,3
3,электрический,0,3
4,чайник,0,4
3,уровень,3,0
4,данный,2,2
2,период,1,1
1,день,1,0
1,изменять,0,1
1,положение,0,1
7,холодный,0,7
5,батарея,0,5
19,оборудование,5,14
1,значить,1,0
1,прийти,1,0
1,уведомление,1,0
1,приближать,1,0
2,отпуск,1,1
2,начальник,0,2
1,терминальный,0,1
3,электромонтажный,0,3
3,выдавать,1,2
16,система110,4,12
4,запускать,3,1
1,комбина,0,1
6,питание,0,6
4,крепление,0,4
28,просить,3,25
8,заменять,2,6
10,клавиатура,2,8
5,кнопка,3,2
1,random1639заявка,0,1
16,входной,0,16
2,обеспечение,0,2
3,питьевой,0,3
2,переподключать,0,2
8,роль,2,6
3,пропасть,2,1
1,контактный,0,1
1,данные,0,1
1,личной,0,1
3,портал,0,3
1,согласованный,1,0
1,поступить,1,0
1,часто,0,1
2,время,0,2
4,закреплять,0,4
2,полоса,1,1
11,превышение,3,8
11,максимальный,3,8
12,количество,3,9
11,неудачный,3,8
14,попытка,4,10
1,подвал,0,1
2,стенд,0,2
9,тестирование,5,4
9,загружаться,5,4
4,взаимодействие,1,3
1,система391,1,0
3,бр,1,2
3,передача,1,2
1,система19,0,1
8,коммуникационный,0,8
1,встраивать,0,1
2,ввода-вывод,0,2
2,bios,0,2
1,операционный,0,1
1,win10,0,1
2,актуальный,0,2
2,карниз,0,2
3,гостиница,0,3
1,метать,0,1
1,коридор,0,1
6,переустановка,0,6
7,унэп,1,6
1,random9997заявка,0,1
1,random9908заявка,0,1
1,random8298заявка,0,1
1,random2276заявка,0,1
18,система57,10,8
1,random6358заявка,0,1
1,random6968заявка,0,1
1,цр,0,1
3,самый,1,2
3,веселый,1,2
2,недоступность,2,0
1,переход,1,0
1,резервынй,1,0
8,система435,6,2
3,клиент,1,2
4,среда,0,4
3,нагрузочный,0,3
3,выкл,0,3
3,вкл,0,3
2,выход,2,0
2,строить,2,0
2,основной,2,0
5,функционирование,1,4
1,комплексный,1,0
1,тренировка-нарушение,1,0
3,платежный,1,2
47,система91,47,0
10,агент,2,8
2,цос,0,2
1,протокол,0,1
3,недоступный,3,0
1,гипервизор,1,0
1,система334,1,0
1,работоспособность,1,0
7,система120,0,7
3,система56,0,3
4,узсистема7boss,0,4
10,тема,0,10
6,другой,0,6
1,ви,0,1
2,событие,0,2
2,мониторинг,0,2
3,заявкасервис11,1,2
5,час,0,5
3,элемент,0,3
3,настенный,0,3
1,вывозить,0,1
3,мешок,0,3
2,макулатура,0,2
5,редактирование,0,5
1,окончание,0,1
1,действие,0,1
1,елка,0,1
4,зеркало,1,3
1,фиксироваться,1,0
4,лд,0,4
3,очень,2,1
2,долгий,2,0
43,исполнение,5,38
9,сломать,0,9
5,прм,0,5
1,подг,0,1
1,тормоз,0,1
1,тележки-шпилька,0,1
6,столовая,0,6
6,монитор,1,5
14,облако,0,14
1,прибор,0,1
1,кронштейн,0,1
1,аналитический,1,0
1,накапливать,1,0
3,цветной,0,3
135,выполнение,0,135
1,прикрепление,0,1
2,некорректный,1,1
1,random2487заявка,0,1
4,женский,0,4
1,анонимный,0,1
2,отд,2,0
3,разгружать,0,3
1,расхождение,1,0
1,остаток,1,0
1,счет,1,0
1,исистема50,1,0
1,фисный,0,1
1,толстый,0,1
1,передаваться,0,1
2,расход,0,2
6,бд№1,0,6
1,адре№005,0,1
12,,8,4
1,восстанавливать,0,1
5,черный,1,4
1,отсутвовать,1,0
50,адрес,1,49
2,журнал,0,2
1,прием,0,1
1,телефонограмма,0,1
1,random4687заявка,0,1
1,random4945заявка,0,1
2,радиатор,0,2
1,random5434заявка,0,1
1,random9104заявка,0,1
1,random560заявка,0,1
1,осуществление,0,1
1,процедура,0,1
3,обогреватель,0,3
86,05,0,86
87,random,0,87
86,основа,0,86
1,random7546заявка,0,1
25,random55537,0,25
1,random62587,0,1
36,система180,0,36
1,random6317заявка,0,1
1,первое,0,1
1,random8205заявка,0,1
1,random9682заявка,0,1
1,random2014заявка,0,1
1,электрочайник,0,1
113,random49657,0,113
221,система46,1,220
2,создаться,2,0
2,основание,2,0
1,заявкисервис11,1,0
2,система165,1,1
81,создавать,1,80
4,всервис11,3,1
1,утверждать,1,0
1,иметь,1,0
19,система345,0,19
3,плинтус,0,3
3,моющий,0,3
1,ср-во,0,1
1,поверить,1,0
1,процесс,1,0
3,согласование,2,1
3,холодильник,0,3
1,охлаждать,0,1
1,низкий,1,0
1,давление,1,0
1,модуль,1,0
1,газовый,1,0
1,пожаротушение,1,0
1,random976заявка,0,1
1,random3563заявка,0,1
1,программный,0,1
1,random7964заявка,0,1
1,random4192заявка,0,1
2,random5838заявка,0,2
1,ход,1,0
1,сменять,0,1
4,локальный,1,3
1,ввсеть,0,1
2,резолюция,0,2
4,катридж,0,4
5,выключатель,0,5
1,стремянка,0,1
1,гладильный,0,1
2,доска,0,2
1,калорифер,0,1
1,теплообменник,0,1
1,тт,0,1
1,random9135заявка,0,1
2,коробка,0,2
8,заходить,3,5
2,1с,0,2
1,корректный,0,1
1,random3281заявка,0,1
1,сантот,0,1
1,принадлежность,0,1
49,ip,0,49
1,сводный,0,1
7,совещание,0,7
1,схема,1,0
4,система94,0,4
3,автоматический,0,3
6,квиток,0,6
3,обработать,0,3
3,отдельный,0,3
1,система112,0,1
22,имя,0,22
1,random6348заявка,0,1
1,random5622заявка,0,1
1,random9126заявка,0,1
1,random6159заявка,0,1
1,random5972заявка,0,1
1,random3126заявка,0,1
1,random2375заявка,0,1
1,random8310заявка,0,1
1,random7574заявка,0,1
5,сведение,1,4
3,определяться,3,0
4,доставка,0,4
2,задержка,2,0
2,сохранение,2,0
2,периодический,0,2
7,перезагрузка,2,5
2,коммутатор,0,2
2,cisco,0,2
2,система241,2,0
1,random7842заявка,0,1
1,random3169заявка,0,1
3,выгрузка,0,3
2,фанкойл,0,2
3,штора,0,3
2,сл,0,2
2,бачок,0,2
2,2й,0,2
4,информационный,1,3
10,розетка,0,10
2,малый,0,2
2,совет,0,2
2,обсуждение,0,2
2,текущий,0,2
2,тенденция,0,2
2,прогноз,0,2
3,сканировать,3,0
4,система84,0,4
9,серьезный,3,6
2,adobe,0,2
2,flash,0,2
2,player,0,2
2,термозон,0,2
3,перестать,3,0
2,отсутствие,0,2
2,горячий,0,2
2,санитарный,0,2
5,комната,0,5
2,около,0,2
2,каб,0,2
6,здание,0,6
2,освежитель,0,2
4,воздух,0,4
1,узть,0,1
1,random6683заявка,0,1
1,random2215заявка,0,1
3,вентилятор,0,3
1,random7488,0,1
1,random3628,0,1
2,+замена,0,2
2,прикреплять,0,2
1,random1232заявка,0,1
1,random6426заявка,0,1
5,usb,0,5
3,находить,2,1
2,пользоват,2,0
4,оконный,0,4
2,конструкция,0,2
3,физический,0,3
4,поднадзорный,0,4
4,кредитный,0,4
18,random75916,0,18
2,лекция,0,2
2,считываться,0,2
2,пломба,0,2
2,кассета,0,2
87,просьба,4,83
3,выдвижный,0,3
5,ящик,0,5
4,тумба,0,4
3,подкатный,0,3
9,проверять,7,2
2,погрузка-разгрузка,0,2
3,эдок,0,3
3,2-й,0,3
5,ур,1,4
3,критич,3,0
7,мц,0,7
3,инцидент,1,2
21,иб,0,21
1,украшать,0,1
1,random551заявка,0,1
1,оттирать,0,1
1,полоска,0,1
1,крепеж,0,1
1,шестая,0,1
3,система9,0,3
1,random803заявка,0,1
1,учебный,0,1
97,random34658,0,97
100,исй,0,100
97,random71342,0,97
1,разрешать,1,0
1,полк,0,1
1,шкант,0,1
2,освещение,0,2
3,подпись,1,2
1,компонент,0,1
1,бить,0,1
1,ток,0,1
2,открывание,0,2
23,г,0,23
1,сканер,1,0
1,выставление,0,1
1,power,0,1
1,bi,0,1
1,сервис62,0,1
2,028,0,2
2,размещать,0,2
2,насистема95,0,2
1,нажиматься,0,1
1,протягивать,0,1
7,патч-корд,0,7
3,пол,0,3
1,№8,0,1
1,информацион,0,1
6,изготовлять,0,6
6,метр,0,6
2,оперативно,0,2
20,лог,0,20
1,блокирование,0,1
2,конференцзал,0,2
2,отправка,1,1
1,лк,0,1
1,random9356заявка,0,1
6,сертификат-файл,0,6
2,батарейка,0,2
1,подозрительный,0,1
2,отдел,0,2
1,регион,1,0
2,отправляться,1,1
1,система6,1,0
3,архивный,0,3
1,папка,0,1
1,колесо,0,1
1,гидравлика,0,1
1,подсистема,0,1
1,random8095заявка,0,1
1,металический,0,1
2,направление,2,0
3,цсервис22,1,2
2,фанкойло,0,2
1,нетрудоспособность,0,1
1,контакт,0,1
1,поддержка,0,1
2,добавлять,0,2
1,участок,0,1
1,отремонтировать,0,1
4,туалет,0,4
1,форточка,0,1
1,сержанов,0,1
2,ворот,0,2
2,сбрасывать,0,2
1,сессия,0,1
1,отменять,1,0
1,самостоятельно,1,0
1,random8286заявка,0,1
1,random1204заявка,0,1
11,документооборот,1,10
1,пачка,0,1
1,word,0,1
1,excel,0,1
1,random3711заявка,0,1
1,постоянно,0,1
1,моноблок,0,1
1,мет,0,1
1,лопнуть,0,1
1,седушка,0,1
1,хранение,0,1
12,n,0,12
4,организовывать,0,4
1,урна,0,1
2,санузел,0,2
7,этаж,0,7
1,редактор,1,0
2,акт,1,1
3,частичный,0,3
2,актуализация,0,2
1,крайний,0,1
1,обнаруживаться,1,0
1,вставлять,1,0
3,бутылка,0,3
35,random63218,0,35
27,письм,0,27
1,верный,0,1
2,скроссировать,0,2
111,место,0,111
3,вводить,1,2
1,режим,0,1
1,random846заявка,0,1
1,система58неопознаный,0,1
1,налог,0,1
1,прибыль,0,1
1,ликвидация,0,1
4,система364,4,0
1,система349,1,0
1,заводчик,0,1
1,реестр,0,1
4,запускаться,2,2
1,свой,0,1
1,учреждение,0,1
3,незарегистрировать,0,3
5,офисный,0,5
4,канц,0,4
4,т,0,4
6,склад,0,6
4,эт,0,4
1,пернмещение,0,1
1,открытка,0,1
2,персонал,0,2
1,отсутсвовать,1,0
1,random2428заявка,0,1
3,фотосъемка,0,3
3,сайт,1,2
1,порядок,0,1
1,система214,0,1
1,п-т,1,0
1,кривск,1,0
1,лопата,0,1
1,мыльный,0,1
1,random3074заявка,0,1
1,отрегулировать,0,1
1,дверца,0,1
3,шт,0,3
2,сэть,1,1
2,система203,2,0
1,смочь,1,0
1,сделать,1,0
3,должность,0,3
2,резервный,0,2
1,обязанность,0,1
1,hp,0,1
1,irbis,0,1
19,соответствие,0,19
1,перевещать,0,1
1,железный,0,1
2,поломка,1,1
2,рулонный,0,2
1,использовать,0,1
9,погрузка,0,9
2,терминал,1,1
1,random9828заявка,0,1
1,табель,1,0
1,проходить,1,0
1,патч,0,1
1,доработка,0,1
1,система230,0,1
1,согласно,0,1
1,random519заявка,0,1
1,самопроизвольно,0,1
1,выключаться,0,1
1,random2597заявка,0,1
1,random8678заявка,0,1
1,random4860заявка,0,1
4,отделение,0,4
1,инвентарный,0,1
2,дело,0,2
1,random4246заявка,0,1
9,random75146,0,9
1,windows10,0,1
1,re,0,1
1,матрица,0,1
1,департамена,0,1
1,№n,0,1
8,адркс,0,8
8,№95,0,8
1,система110ведение,0,1
1,полностью,1,0
2,система330,2,0
1,ибп,0,1
1,интернет-сеть,1,0
3,система8-устройство,1,2
1,сбиваться,1,0
1,кодировка,1,0
1,календарь,1,0
1,вид,1,0
4,проверка,0,4
4,система60,0,4
4,система106,0,4
1,avaya,1,0
1,заряжаться,1,0
1,random6059заявка,0,1
1,шипка,0,1
1,рутокин,0,1
1,random77заявка,0,1
1,ремон,0,1
2,производить,0,2
1,random4455заявка,0,1
2,три,0,2
2,деревянный,0,2
1,сломаться,1,0
1,втс,1,0
1,random6345заявка,0,1
2,навешивать,0,2
2,проект,1,1
3,финансовый,0,3
1,грамотность,0,1
1,измениться,0,1
1,сфера,0,1
1,дирижабль,1,0
3,бд,0,3
1,укэп,0,1
1,random6900заявка,0,1
2,random380заявка,0,2
1,результат,0,1
1,температура,0,1
1,влажность,0,1
2,п,0,2
1,random7627заявка,0,1
1,система125,1,0
5,перемещать,0,5
1,коробок,0,1
2,подарок,0,2
1,шуруп,0,1
3,выносить,0,3
5,мусор,0,5
2,сервис208,2,0
1,major,0,1
1,система254,0,1
1,система108,1,0
1,random8698заявка,0,1
2,провалиться,0,2
1,боковой,0,1
1,сектр,0,1
2,random779заявка,0,2
2,давать,1,1
2,разбираться,2,0
2,ситуация,2,0
3,пожалуйста,0,3
3,поменять,0,3
1,random5395заявка,0,1
2,система210,0,2
1,изымать,0,1
1,random265заявка,0,1
2,заседание,0,2
1,межведомственный,0,1
1,ргпо,0,1
1,развитие,0,1
1,рынок,0,1
1,random55заявка,0,1
1,random6445заявка,0,1
1,сохранять,0,1
1,уч,0,1
2,запуск,1,1
3,подписывать,2,1
1,идти,1,0
1,окошко,1,0
2,сторожок,0,2
1,обрабатываться,0,1
1,вывоз,0,1
1,выделять,0,1
2,проливание,0,2
2,мясной,0,2
3,цех,0,3
3,смеситель,0,3
1,стд,1,0
1,дозатор-мыло,0,1
1,сторона,0,1
1,крышка,0,1
1,random927заявка,0,1
1,лестница,0,1
1,random3646заявка,0,1
1,очистка,0,1
1,мб,0,1
1,система1,0,1
1,обозначать,0,1
1,бирка,0,1
1,запорный,0,1
1,арматура,0,1
1,officeна,1,0
1,уничтожение,1,0
1,система336,1,0
2,мобильный,2,0
1,чер,1,0
1,обеспечивать,0,1
2,кран,0,2
1,бижить,0,1
1,туалетный,0,1
1,random8033заявка,0,1
2,мышка,0,2
5,оказывать,1,4
1,влияние,1,0
1,ит-услугиня,1,0
2,загружать,2,0
1,random608заявка,0,1
1,новозможно,0,1
1,пульт,0,1
2,телевизор,0,2
1,ааа-,0,1
1,random3187заявка,0,1
1,random4408заявка,0,1
1,random4826заявка,0,1
5,помощь,0,5
1,захватывать,1,0
2,лист,1,1
1,random6172заявка,0,1
1,random9078заявка,0,1
1,random2036заявка,0,1
1,random9555заявка,0,1
2,комбинат,0,2
1,присоеденять,0,1
2,приставка,0,2
1,random7001заявка,0,1
2,химчистка,0,2
1,слышный,1,0
1,посторонний,1,0
3,картридж,0,3
1,откос,0,1
1,справка,1,0
1,финансирование,1,0
2,ас,0,2
1,4-6,0,1
1,чистый,0,1
1,random3793заявка,0,1
1,random263,0,1
1,релиз,0,1
1,random4585заявка,0,1
1,максимально,0,1
1,быстро,0,1
1,пром,0,1
1,система50,0,1
1,random5768заявка,0,1
1,random6687заявка,0,1
1,random2759заявка,0,1
1,random8152заявка,0,1
1,декор,0,1
1,аналог,0,1
1,система105,0,1
2,связь,2,0
1,dect,1,0
1,кафельный,0,1
1,приклеивать,0,1
1,плитка,0,1
3,random456897,0,3
1,плохо,0,1
1,random860заявка,0,1
2,bossnet,0,2
2,client,0,2
4,подготовка,0,4
1,подтверждение,0,1
1,получать,0,1
1,банкнота,0,1
1,монета,0,1
1,рф,0,1
1,999999999999,0,1
9,сдача,0,9
2,выдаваться,0,2
1,пояснение,0,1
1,читаться,0,1
1,ру,0,1
1,токен,0,1
1,работет,1,0
1,внутри,0,1
1,random1130заявка,0,1
1,отклеиться,0,1
2,экран,0,2
1,лифт,0,1
3,кофемашина,0,3
1,random2471заявка,0,1
1,random178заявка,0,1
1,ссистема22,0,1
1,random2547заявка,0,1
1,random1089заявка,0,1
1,random7972заявка,0,1
1,random3560заявка,0,1
1,random8655заявка,0,1
1,random4102заявка,0,1
1,убирать,0,1
1,левый,0,1
1,угол,0,1
1,random5772заявка,0,1
1,random836заявка,0,1
1,random2801заявка,0,1
1,random3577заявка,0,1
1,random7102заявка,0,1
1,random8457заявка,0,1
1,random5545заявка,0,1
1,random3535заявка,0,1
1,random5861заявка,0,1
1,random2914заявка,0,1
1,random8057заявка,0,1
1,random9313заявка,0,1
1,random4399заявка,0,1
1,random5042заявка,0,1
1,опечатывающий,0,1
1,ст,0,1
1,random5411заявка,0,1
1,динамика,1,0
5,ул,0,5
1,обьект,0,1
2,подъем,0,2
1,random4406заявка,0,1
1,сильно,0,1
1,дуть,0,1
1,наличник,0,1
1,оторваться,0,1
1,пластина,0,1
1,random3244заявка,0,1
3,randomкиш,0,3
1,неисполнять,1,0
1,срочный,1,0
1,столик,0,1
1,крупногаборитный,0,1
1,кондит,0,1
2,служба,1,1
1,продовольственный,0,1
1,аптека,0,1
1,ро,0,1
1,учстанавливать,0,1
1,противопожарный,0,1
1,табличка,0,1
1,random567заявка,0,1
1,система234,1,0
1,служебный,0,1
1,полосить,1,0
2,база,1,1
1,осй,0,1
1,образ,0,1
1,смета,0,1
1,дефект,1,0
1,шнур,0,1
1,витый,0,1
2,чистка,0,2
1,создаваться,1,0
1,редкий,0,1
3,ключ,0,3
1,почему,1,0
1,отмениться,1,0
1,подача,1,0
1,random5435заявка,0,1
1,вылететь,0,1
1,заявоксервис11,1,0
1,темный,0,1
1,отпасть,0,1
1,уголок,0,1
1,резервирование,1,0
1,архив,1,0
1,random3023заявка,0,1
1,random8762заявка,0,1
1,окраска,0,1
2,стена,0,2
1,random7588заявка,0,1
1,random4965заявка,0,1
1,09,0,1
1,01,0,1
1,random9285заявка,0,1
1,random484заявка,0,1
3,randomюта,0,3
1,оформлять,1,0
1,запрашивать,1,0
1,логин,1,0
1,рестоврация,0,1
1,банкетка,0,1
1,отключиться,1,0
1,орг,1,0
2,стационарный,2,0
1,отклонять,0,1
2,причина,0,2
4,снимать,0,4
1,списание,0,1
1,мз,0,1
1,системе22,0,1
1,random5876заявка,0,1
1,шрифт,0,1
1,random8984заявка,0,1
1,ответственный,1,0
1,черезсервис11,1,0
1,корридорный,0,1
1,random8147заявка,0,1
5,дополнительный,1,4
3,активный,2,1
4,отправлять,4,0
1,заведение,1,0
1,всервис11й,1,0
2,назначение,0,2
1,подч,0,1
48,random49594,0,48
1,google,0,1
